Orcid,Année,Titre,Type,Source,Auteurs,contact
0000-0002-6322-6352,2024,Global fine-resolution data on springtail abundance and community structure,journal-article,http://dx.doi.org/10.1038/s41597-023-02784-x,"['Anton M. Potapov', 'Ting-Wen Chen', 'Anastasia V. Striuchkova', 'Juha M. Alatalo', 'Douglas Alexandre', 'Javier Arbea', 'Thomas Ashton', 'Frank Ashwood', 'Anatoly B. Babenko', 'Ipsa Bandyopadhyaya', 'Carolina Riviera Duarte Maluche Baretta', 'Dilmar Baretta', 'Andrew D. Barnes', 'Bruno C. Bellini', 'Mohamed Bendjaballah', 'Matty P. Berg', 'Verónica Bernava', 'Stef Bokhorst', 'Anna I. Bokova', 'Thomas Bolger', 'Mathieu Bouchard', 'Roniere A. Brito', 'Damayanti Buchori', 'Gabriela Castaño-Meneses', 'Matthieu Chauvat', 'Mathilde Chomel', 'Yasuko Chow', 'Steven L. Chown', 'Aimee T. Classen', 'Jérôme Cortet', 'Peter Čuchta', 'Ana Manuela de la Pedrosa', 'Estevam C. A. De Lima', 'Louis E. Deharveng', 'Enrique Doblas Miranda', 'Jochen Drescher', 'Nico Eisenhauer', 'Jacintha Ellers', 'Olga Ferlian', 'Susana S. D. Ferreira', 'Aila S. Ferreira', 'Cristina Fiera', 'Juliane Filser', 'Oscar Franken', 'Saori Fujii', 'Essivi Gagnon Koudji', 'Meixiang Gao', 'Benoit Gendreau-Berthiaume', 'Charles Gers', 'Michelle Greve', 'Salah Hamra-Kroua']",Mathieu Santonja
0000-0002-6322-6352,2023,Effects of litter quality on foraging behaviour and demographic parameters in<i>Folsomia candida</i>(Collembola),journal-article,,"['Karolina Argote', 'Cecile H. Albert', 'Benoît Geslin', 'Charlotte Biryol', 'Mathieu Santonja']",Mathieu Santonja
0000-0002-6322-6352,2023,How does management affect soil C sequestration and greenhouse gas fluxes in boreal and temperate forests? – A review,journal-article,http://dx.doi.org/10.1016/j.foreco.2022.120637,"['Raisa Mäkipää', 'Rose Abramoff', 'Bartosz Adamczyk', 'Virginie Baldy', 'Charlotte Biryol', 'Michal Bosela', 'Pere Casals', 'Jorge Curiel Yuste', 'Marta Dondini', 'Sara Filipek', 'Jordi Garcia-Pausas', 'Raphael Gros', 'Erika Gömöryová', 'Shoji Hashimoto', 'Mariana Hassegawa', 'Peter Immonen', 'Raija Laiho', 'Honghong Li', 'Qian Li', 'Sebastiaan Luyssaert', 'Claire Menival', 'Taiki Mori', 'Kim Naudts', 'Mathieu Santonja', 'Aino Smolander', 'Jumpei Toriyama', 'Boris Tupek', 'Xavi Ubeda', 'Pieter Johannes Verkerk', 'Aleksi Lehtonen']",Mathieu Santonja
0000-0002-6322-6352,2022,"Amplified Drought Alters Leaf Litter Metabolome, Slows down Litter Decomposition, and Modifies Home Field (Dis)Advantage in Three Mediterranean Forests",journal-article,https://www.mdpi.com/2223-7747/11/19/2582,"['Elodie Quer', 'Susana Pereira', 'Thomas Michel', 'Mathieu Santonja', 'Thierry Gauquelin', 'Guillaume Simioni', 'Jean-Marc Ourcival', 'Richard Joffre', 'Jean-Marc Limousin', 'Adriane Aupic-Samain', 'Caroline Lecareux', 'Sylvie Dupouyet', 'Jean-Philippe Orts', 'Anne Bousquet-Mélou', 'Raphaël Gros', 'Marketa Sagova-Mareckova', 'Jan Kopecky', 'Catherine Fernandez', 'Virginie Baldy']",Mathieu Santonja
0000-0002-6322-6352,2022,Experimental Precipitation Reduction Slows Down Litter Decomposition but Exhibits Weak to No Effect on Soil Organic Carbon and Nitrogen Stocks in Three Mediterranean Forests of Southern France,journal-article,https://www.mdpi.com/1999-4907/13/9/1485,"['Mathieu Santonja', 'Susana Pereira', 'Thierry Gauquelin', 'Elodie Quer', 'Guillaume Simioni', 'Jean-Marc Limousin', 'Jean-Marc Ourcival', 'Ilja M. Reiter', 'Catherine Fernandez', 'Virginie Baldy']",Mathieu Santonja
0000-0002-6322-6352,2021,Legacy effect of green manure crops fertilized with calcium phosphite on maize production and soil properties,journal-article,http://dx.doi.org/10.1016/j.jenvman.2021.113092,"['Mario Fontana', 'Thomas Guillaume', 'Luca Bragazza', 'Saïd Elfouki', 'Mathieu Santonja', 'Alexandre Buttler', 'Renato Gerdol', 'Lisa Brancaleoni', 'Sokrat Sinaj']",Mathieu Santonja
0000-0002-6322-6352,2021,Valorization of calcium phosphite waste as phosphorus fertilizer: Effects on green manure productivity and soil properties,journal-article,http://dx.doi.org/10.1016/j.jenvman.2021.112061,"['Mario Fontana', 'Luca Bragazza', 'Thomas Guillaume', 'Mathieu Santonja', 'Alexandre Buttler', 'Saïd Elfouki', 'Sokrat Sinaj']",Mathieu Santonja
0000-0002-6322-6352,2021,"Soil properties, grassland management, and landscape diversity drive the assembly of earthworm communities in temperate grasslands",journal-article,http://dx.doi.org/10.1016/s1002-0160(20)60020-0,['Auteurs non renseignés'],Mathieu Santonja
0000-0002-6322-6352,2021,Soil biota response to experimental rainfall reduction depends on the dominant tree species in mature northern Mediterranean forests,journal-article,http://dx.doi.org/10.1016/j.soilbio.2020.108122,['Auteurs non renseignés'],Mathieu Santonja
0000-0002-6322-6352,2020,Water availability rather than temperature control soil fauna community structure and prey‐predator interactions,journal-article,http://dx.doi.org/10.1111/1365-2435.13745,['Auteurs non renseignés'],Mathieu Santonja
0000-0002-6322-6352,2020,"Species identity, rather than species mixtures, drives cover crop effects on nutrient partitioning in unfertilized agricultural soil",journal-article,http://dx.doi.org/10.1007/s11104-020-04782-z,['Auteurs non renseignés'],Mathieu Santonja
0000-0002-6322-6352,2020,Shift in plant-soil interactions along a lakeshore hydrological gradient,journal-article,,"['Wenjuan Feng', 'Mathieu Santonja', 'Luca Bragazza', 'Alexandre Buttler']",Mathieu Santonja
0000-0002-6322-6352,2020,Gain in biodiversity but not in phytostabilization after 3 years of ecological restoration of contaminated Mediterranean soils,journal-article,,"['L. Tosini', 'H. Folzer', 'A. Heckenroth', 'P. Prudent', 'M. Santonja', 'A.-M. Farnet', 'M.-D. Salducci', 'L. Vassalo', 'Y. Labrousse', 'B. Oursel', 'I. Laffont-Schwob']",Mathieu Santonja
0000-0002-6322-6352,2020,Above- and below-ground effects of an ecosystem engineer ant in Mediterranean dry grasslands,journal-article,http://dx.doi.org/10.1098/rspb.2020.1840,['Auteurs non renseignés'],Mathieu Santonja
0000-0002-6322-6352,2020,Functional collembolan assemblages induce different plant responses in Lolium perenne,journal-article,,"['Bruna R. Winck', 'Matthieu Chauvat', 'Sekou F. M. Coulibaly', 'Mathieu Santonja', 'Enilson Luiz Saccol de Sá', 'Estelle Forey']",Mathieu Santonja
0000-0002-6322-6352,2020,Soil microbial activity in a Mediterranean garrigue responds more to changing shrub community than to reduced rainfall,journal-article,,"['Nathalie Fromin', 'Ammar Shihan', 'Mathieu Santonja', 'Virginie Baldy', 'Stephan Hättenschwiler']",Mathieu Santonja
0000-0002-6322-6352,2020,Soil scarification favors natural regeneration of Pinus pinea in Lebanon forests: Evidences from field and laboratory experiments,journal-article,,"['Joseph Nakhoul', 'Mathieu Santonja', 'Catherine Fernandez', 'Stéphane Greff', 'Anne Bousquet-Mélou', 'Sylvie Dupouyet', 'Nabil Nemer', 'Salim Kattar', 'Jihad Abboud', 'Bernard Prévosto']",Mathieu Santonja
