Contact,Fonction,Sigle structure
Frédéric Darboux,DIR,IGE
Sarah Coffinet,MAITRE_DE_CONF,ECOBIO
Nicolas Flipo,MAITRE_DE_CONF,METIS
Cédric Legout,MAITRE_DE_CONF,IGE
Christophe Mavon,INGE,LCE
Florentina Moatar,MAITRE_DE_CONF,RiverLy
Guillaume Nord,INGE,IGE
Serena Rasconi,CR,CARRTEL
José-Miguel Sanchez-Perez,DIR,CRBE
Sabine Sauvage,INGE,CRBE
Caroline Lebouteiller,INGE,IGE
Benjamin Amann,POSTDOC,LIENSs
Fanny Colas,MAITRE_DE_CONF,LEHNA
Etienne Dambrine,DIR,CARRTEL
Isabelle Domaizon,DIR,CARRTEL
Julien Fouché,MAITRE_DE_CONF,LISAH
David Gateuille,PROFESSEUR,EDYTEM
Roberto Grilli,CR,IGE
Stephane Guedron,CR,ISTERRE
Jérôme Poulenard,PROFESSEUR,EDYTEM
Damien Raclot,DIR,LISAH
Mélanie Raimonet,CR,LEMAR
Jean-Philippe Jenny,DIR,CARRTEL
Yann Nouvellon,DIR,Eco&Sols
Lionel Alletto,DIR,AGIR
Pascal Jouquet,DIR,iEES
Mathilde Sester,CR,AIDA
Maxime Duthoit,INGE,Eco&Sols
Isabelle Bertrand,CR,Eco&Sols
Catherine Henault,DIR,Agroécologie
Joël Leonard,CR,BioEcoAgro
Florent Tivet,CR,AIDA
Myriam Adam,CR,AGAP
Rémi Cardinael,DIR,AIDA
Eric Justes,DIR,AGIR
Benoit Marie,INGE,Eco&Sols
Guillaume Vitte,INGE,AIDA
Jérôme Ngao,CR,Eco&Sols
Nicolas Bottinelli,CR,iEES
Frida Keuper,CR,BioEcoAgro
Rémi Dugué,INGE,Eco&Sols
Marion Forest,INGE,Eco&Sols
Fabien Ferchaud,INGE,Eco&Sols
Gabin Piton,CR,Eco&Sols
Noémie Deschamps,TECH,AGIR
Eléa Frétigné,INGE,AGIR
Thang Do Trong,TECH,SFI
Sophal Koun,TECH,CARDEC
Makara Sreng,TECH,CARDEC
Bendith Tai,INGE,CARDEC
Nuon Thanon,TECH,CARDEC
Theara Khlot,TECH,CARDEC
Phearum Mark,TECH,CARDEC
Phomrin Pheng,TECH,CARDEC
Sreymom Sieng,INGE,CARDEC
Regis Chikowo,PROFESSEUR,UZF
Armwell Shumba,DOC,AIDA
Emmanuel Matimba,TECH,AIDA
Abderrahim Bouhenache,DOC,AIDA/INRAE
Hope Mazungunye,DOC,AIDA
Souleymane Diop,DOC,AIDA/INRAE
Jérôme Demarty,DIR,HSM
Jean-Martial Cohard,PROFESSEUR,IGE
Léna Collet,DOC,HSM
Lionel Jarlan,DIR,CESBIO
Valérie Le Dantec,PROFESSEUR,CESBIO
