Contact,ORCID,Nombre_publis
Séverine Piutti,0000-0001-6334-0721,0.0
Clémentine Chirol,0000-0003-0932-4725,8.0
Gonzague Alavoine,0000-0001-5741-1087,2.0
Marc Buée,0000-0001-8614-3886,142.0
Catherine Henault,0000-0002-1210-2499,71.0
Fabien Ferchaud,0000-0002-2078-3570,47.0
Arnaud Legout,0000-0003-4706-424X,48.0
Angélique Gainvors-Claisse,0000-0002-7473-6112,2.0
Maryse Rouelle,0000-0002-6020-9610,0.0
Pascal Thiebeau,0000-0001-9120-652X,28.0
Olivier Delfosse,0009-0004-1220-4366,1.0
Charlotte Stutzmann,,
Nicolas Delpierre,0000-0003-0906-9402,82.0
Pierre Trichet,0000-0002-6938-1353,0.0
Bernhard Zeller,0000-0002-7035-7203,0.0
Luiz Domeignoz-Horta,,
Ali Faraj,0000-0001-6171-2720,44.0
Guillaume Vitte,0009-0009-8809-3216,0.0
Perle Bressan,,
Bastien Gerard,0000-0003-3132-0552,10.0
Loïc Louis,0000-0003-3806-5478,1.0
Nicolas Angeli,,
Jean Alric,0000-0003-3574-2234,51.0
Fabien Chardon,0000-0001-7909-3884,56.0
Katia Beauchene,,
Lucas Leverne,0009-0006-4131-7567,0.0
Nicolas Vuichard,0000-0002-3397-7948,121.0
Solan Levy,,
Xenie Johnson,0000-0003-3424-7047,42.0
Bernard Genty,0009-0001-5537-0522,0.0
Stefania Viola,0000-0002-6201-5772,33.0
Fabienne Maignan,0000-0001-5024-5928,140.0
Nicolas Viovy,0000-0002-9197-6417,213.0
Mathieu Marguerie,,
Anne Marmagne,0000-0003-3466-9477,26.0
Léo Tuffery,,
Clara Gilloteau,,
Samuel Abiven,0000-0002-5663-0912,145.0
Adeline Armelin,,
Alexandre Grondin,0000-0001-6726-6274,12.0
Isabelle Basile,0000-0002-0587-8141,50.0
Pierre Boutet,0009-0005-5171-9394,0.0
Brian Phouybanhdyt,0009-0008-5628-2453,0.0
Caroline Gauthier,0000-0002-5876-5896,22.0
Cathy Clermont-Dauphin,0000-0001-6500-9194,0.0
Christine Hatte,0000-0002-7086-2672,233.0
Blanche Collin,0000-0001-6173-1227,37.0
Daniel Moukouanga,,
David Pot,0000-0002-1480-9826,52.0
Delphine Derrien,0000-0002-6482-2316,55.0
Dominique Masse,0000-0002-3165-1469,49.0
Adrien Duvivier,0000-0003-1842-2802,0.0
Fabien De Bellis,0000-0001-7070-7691,0.0
Frederic Rees,0000-0002-4827-4452,25.0
Ghislain Gassier,0000-0003-2873-0251,29.0
Johannes Stuttmann,0000-0002-6207-094X,46.0
Komi Assigbetse,0000-0002-5181-6603,49.0
Laurent Cournac,0000-0003-0371-938X,117.0
Laurent Laplaze,0000-0002-6568-6504,136.0
Ludovic Henneron,0000-0002-3979-0543,9.0
Mariama Gueye,,
Marie-Ange Palomares,,
Sylvain Fochesato,,
Thierry Heulin,0000-0001-9502-2218,3.0
Vincent Garin,0000-0002-5571-1841,12.0
Vincent Vadez,0000-0003-2014-0281,329.0
Laurence Vidal,0000-0001-7597-3753,0.0
Wafa Achouak,0000-0003-4297-6661,17.0
Hélène Launay,0000-0003-0639-2642,24.0
Matthieu Bergé,0000-0002-0910-6114,14.0
Amel Latifi,0000-0002-0776-7349,2.0
Gilles Peltier,0000-0002-2226-3931,128.0
Yonghua Li-Beisson,0000-0003-1064-1816,120.0
Olivier Bornet,0000-0001-8931-4353,0.0
Glaucia Squizato,,
Gilles Boulet,0000-0002-3905-7560,120.0
Joannès Guillemot,0000-0003-4385-7656,53.0
Nicolas Barbier,0000-0002-5323-3866,105.0
Ivan Cornut,0000-0002-0043-4234,9.0
Emmanuel Tillard,0000-0001-7801-2392,0.0
Ibrahim Maïnassara,,
Damien Raclot,0000-0002-6445-6168,91.0
Liudmila Shirokova,0000-0001-9368-9086,0.0
Antoine Séjourné,,
Maialen Barret,0000-0003-1583-4502,0.0
Julien Fouché,0000-0002-3943-3001,16.0
Marie Anne Alexis,0000-0002-8280-1367,25.0
Samuel Abiven,0000-0002-5663-0912,145.0
Laure Gandois,0000-0002-9326-6830,32.0
Christine Delire,0000-0002-6114-3211,86.0
Bertrand Decharme,0000-0002-8661-1464,112.0
Xavier Raynaud,0000-0002-4100-3035,54.0
Laurent Orgogozo,0000-0001-7752-1427,0.0
Laure Gandois,0000-0002-9326-6830,32.0
Gwenaël Abril,0000-0002-4914-086X,130.0
Vincent Vantrepotte,0000-0002-0495-5977,0.0
Marie Arnaud,0000-0002-9650-3256,0.0
Aurélia Mouret,0000-0002-2258-7696,42.0
Tarik Meziane,0000-0003-2142-6441,101.0
Cédric Hubas,0000-0002-9110-9292,82.0
Charlotte Dromard,0000-0003-2877-1096,0.0
Pierre Le Moal,,
Cyril Marchand,0000-0002-3991-9431,5.0
Maximilien Mathian,0000-0003-2564-0410,10.0
Kapeliele Gututauava,,
Cornélia Rumpel,0000-0003-2131-9451,206.0
Dominique Lamy,0009-0000-0605-1624,20.0
Philélia Biron,,
Axel Felbacq,0000-0002-5611-6606,5.0
Julien Nemery,0000-0001-9826-7739,52.0
Nicolas Gratiot,0000-0002-9053-1694,84.0
Roberto Grilli,0000-0001-5636-264X,25.0
Edouard Metzger,0000-0002-5838-4540,85.0
Eric Bénéteau,,
Christophe Proisy,0000-0002-6718-863X,59.0
Jean-Luc Maeght,0000-0002-7292-1955,62.0
Lucie Lacourte,,
Sabine Schmidt,0000-0002-5657-7488,45.0
Hubert Loisel,0000-0003-2905-6465,0.0
Pierre Anschutz,0000-0001-5331-7974,0.0
Vona Méléder,0000-0002-1874-1929,30.0
Mélanie Raimonet,0000-0001-5953-3950,21.0
Florian Cesbron,0000-0001-7141-8592,13.0
Dominique Davoult,0000-0001-8678-3998,138.0
Fabien Gibert,,
Christine Dupuy,0000-0002-5634-1336,78.0
Edouard Metzger,0000-0002-5838-4540,85.0
Lionel Denis,0000-0003-3890-2037,52.0
Eric Chaumillon,0000-0003-1823-7834,81.0
Aurélia Mouret,0000-0002-2258-7696,42.0
Nicolas Spilmont,0000-0002-2380-1113,31.0
Emma Michaud,0000-0002-7304-4069,50.0
Johann Lavaud,0000-0002-4704-2502,86.0
Régis Gallon,0000-0002-1152-2408,4.0
Aline Migné,,
Cédric Boulart,0000-0003-2080-6987,22.0
Alexis Drogoul,0000-0002-9685-9199,2.0
Benoit Gaudou,0000-0002-9005-3004,37.0
Eléonor Loiseau,,
Patrice Buche,0000-0002-9134-5404,230.0
Pierre Thiriet,0000-0002-8030-4703,2.0
Jean-Christophe Soulié,0000-0003-2904-9548,57.0
Jean-Denis Mathias,0000-0002-6172-9079,99.0
Alassane Bah,0000-0003-1916-1931,91.0
Dominique Masse,0000-0002-3165-1469,49.0
Kevin Bertin,0000-0003-2437-6312,0.0
Petros Chatzimpiros,0000-0002-7696-7344,14.0
Antonello Lobianco,0000-0002-1534-8697,11.0
Kamel Louhichi,0000-0001-8449-5693,38.0
Bertrand Guenet,0000-0002-4311-8645,222.0
Douadia Bougherara,0000-0001-9976-8543,46.0
Sabine Lavorel,0009-0009-4425-0881,0.0
Raluca Parvulescu,0000-0003-1752-783X,1.0
Claudia Teran Escobar,0000-0002-3247-488X,5.0
Laure Bamière,0000-0001-6663-6472,1.0
Stéphane De Cara,0000-0002-2559-1877,44.0
Raphaële Preget,0000-0003-2650-148X,33.0
Sophie Thoyer,0000-0003-2900-2117,0.0
Jean-Philippe Boussemart,0000-0001-7932-6940,66.0
Laurence Delattre,0000-0002-1706-9958,0.0
Zhiyang Shen,0000-0002-5126-6461,86.0
Humberto Brea-Solis,0000-0001-5162-6546,0.0
Patricia Benezech-Sarron,,
Alexandra Langlais,0009-0007-9283-5038,0.0
Adrien Baysse-Lainé,0000-0002-8148-3483,19.0
Maylis Desrousseaux,0000-0002-4138-1431,0.0
Oriane Sulpice,0009-0007-6987-5584,30.0
Fabrice Etilé,0000-0001-5783-1823,30.0
Carole Dalin,0000-0002-2123-9622,49.0
