PEPR FairCarboN,Projet,Budget
  ,ALAMOD,7.0
  ,SLAM-B,6.5
  ,RIFT,2.8
  ,CrosyeN,1.5
  ,CARBONIUM,2.0
  ,DEEP-C,1.5
  ,CABESTAN,1.5
  ,TROPECOS,1.4
  ,CANETE,1.5
  ,Drought For C,1.5
  ,PEACE,1.5
  ,GREENSCALE,1.2
  ,CLIM-FAS,1.2
  ,PREFALIM,1.2
  ,RhizoSeqC,1.2
  ,CO2CMPhi,1.1
  ,Gouvernance,5.2
