Acronyme PEPR,projet,Type_Data,Libellé structure,Sigle structure,Code RNSR,Code Unité,Tutelles,Domaine scientifique,Discipline ERC,Adresse,Latitude,Longitude
FairCarboN,TROPECOS,Labo,BotAnique et Modélisation de l'Architecture des Plantes et des Végétations,AMAP,200317641S,UMR 5120,INRAE / CNRS / IRD / CIRAD,10-Sciences agronomiques et écologiques / 9-Sciences et technologies de l'information et de la communication,"PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","Parc Scientifique Agropolis, 2196 Bd de la Lironde, 34980 Montferrier-sur-Lez",43.663631,3.8459387
FairCarboN,GREENSCALE,Labo,ARVALIS,ARVALIS,,Entreprise partenaire,Entreprise partenaire,,,ARVALIS,48.3350668,2.3741995
FairCarboN,SLAM-B,Labo,Agrosystèmes tropicaux,ASTRO,201119636A,UR 1321,INRAE,10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",INRA Domaine Duclos Petit-Bourg F-97170 Guadeloupe,16.201713362352596,-61.664843
FairCarboN,ALAMOD,Labo,Biogéochimie des Ecosystèmes Forestiers,BEF,200117918B,UR 1138,INRAE,10-Sciences agronomiques et écologiques,,INRA Champenoux-54280-Champenoux,48.744439,6.348987
FairCarboN,SLAM-B,Labo,Biogéochimie des Ecosystèmes Forestiers,BEF,200117918B,UR 1138,INRAE,10-Sciences agronomiques et écologiques,,INRA Champenoux-54280-Champenoux,48.744439,6.348987
FairCarboN,CANETE,Labo,Biogéochimie des Ecosystèmes Forestiers,BEF,200117918B,UR 1138,INRAE,10-Sciences agronomiques et écologiques,,INRA Champenoux-54280-Champenoux,48.744439,6.348987
FairCarboN,RhizoSeqC,Labo,Biogéochimie des Ecosystèmes Forestiers,BEF,200117918B,UR 1138,INRAE,10-Sciences agronomiques et écologiques,,INRA Champenoux-54280-Champenoux,48.744439,6.348987
FairCarboN,Drought for C,Labo,Biogéochimie des Ecosystèmes Forestiers,BEF,200117918B,UR 1138,INRAE,10-Sciences agronomiques et écologiques,,INRA Champenoux-54280-Champenoux,48.744439,6.348987
FairCarboN,SLAM-B,Labo,Bureau d'Économie Théorique et Appliquée,BETA,,UMR 7522,Université de Strasbourg / Université de Lorraine / INRAE / AgroParisTech / CNRS,7-Sciences de la société,,"13 place Carnot CO 70026, 54035 Nancy",48.6968381,6.1749763
FairCarboN,GREENSCALE,Labo,Institut de Biosciences et Biotechnologies d'Aix-Marseille (ex-IBEB),BIAM,201622497N,UMR 7265,CEA / CNRS / Aix-Marseille Université,"5-Biologie, médecine et santé","LS1 : Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling ","CEA Cadarache, Zone Cité des Énergies BIAM, Bâtiment 1900, 13108 Saint-Paul-lez-Durance",43.6997348622178,5.74073707666759
FairCarboN,RhizoSeqC,Labo,Institut de Biosciences et Biotechnologies d'Aix-Marseille (ex-IBEB),BIAM,201622497N,UMR 7265,CEA / CNRS / Aix-Marseille Université,"5-Biologie, médecine et santé","LS1 : Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling ","CEA Cadarache, Zone Cité des Énergies BIAM, Bâtiment 1900, 13108 Saint-Paul-lez-Durance",43.6997348622178,5.74073707666759
FairCarboN,CO2_CMPhi,Labo,Institut de Biosciences et Biotechnologies d'Aix-Marseille (ex-IBEB),BIAM,201622497N,UMR 7265,CEA / CNRS / Aix-Marseille Université,"5-Biologie, médecine et santé","LS1 : Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling ","CEA Cadarache, Zone Cité des Énergies BIAM, Bâtiment 1900, 13108 Saint-Paul-lez-Durance",43.6997348622178,5.74073707666759
