pid,title,url,published_at,collection_parente,is_linked,authors,description,keywords,subjects,license,version,nb_fichiers
doi:10.57745/81Y4IG,A database of long-term experiments on soil organic carbon dynamics in the Global South,https://doi.org/10.57745/81Y4IG,2025-08-07T09:30:13Z,inrae,True,"Kpemoua, Tchodjowiè P.I. | Houssoukpevi Issiakou A. | Fujisaki Kenji | Versini Antoine | Barré Pierre | Chevallier Tiphaine | Le Noë Julia","This dataset compiles the results of a critical meta-analysis based on an exhaustive literature search in the Web of Science database, targeting peer-reviewed primary studies published up to early 2024 and focusing on soil organic carbon (SOC) dynamics in countries of the Global South. The initial literature search identified 3,641 unique articles. Abstracts were screened using keywords such as “soil carbon”, “SOC”, “carbon”, “stocks”, “long-term”, “experiment”, “changes”, “decades”, “pluriannual”, leading to a shortlist of 452 articles. From these, studies were selected based on the following criteria: (i) long-term field experiments lasting more than 5 years, (ii) availability of SOC stock or concentration data at both the initial and final stages of the experiment (diachronic approach), and (iii) exclusion of studies based on remote sensing, modeling, or space-for-time substitutions (synchronic approach). In cases where only soil organic matter (SOM) was reported, SOC was estimated using a conversion factor of 0.58 (Pan et al., 2004). Based on these criteria, the final database includes 155 primary studies conducted across 174 long-term experimental sites, resulting in 1,362 paired observations comparing SOC content or stock at two time points. Data were extracted from text, tables, and figures, including digitization of graphical data using WebPlotDigitizer (Burda et al., 2017; Kpemoua et al., 2022), and organized in a structured Excel file (Supplementary Material 1).

For each study site, extensive metadata were compiled, including: 
- Geographic location
- Ecosystem type (forest, grassland, cropland, fallow, agroforestry, crop-livestock systems)
- Soil management practices (conventional tillage, minimum tillage, permanent beds, no-tillage)
- Crop management details (mineral and organic fertilization rates and types, crop rotation, diversification, etc.)
-  Climate variables (climate type, mean temperature, precipitation when available)
-  Soil physicochemical characteristics: clay, silt, sand, pH, bulk density, total nitrogen, C/N ratio, CaCO₃. 
Soil texture classes were derived using the USDA textural triangle, then grouped into coarse, medium, and fine texture categories following the Soil Survey Manual . Carbon input data: crop yields, aboveground biomass, and exogenous organic matter additions were recorded when available. Where inputs were reported as dry matter, a conversion factor of 0.45 was applied to estimate carbon input. All exogenous organic inputs were expressed in tons of carbon.

To our knowledge, this is the most comprehensive and methodologically rigorous dataset on long-term SOC dynamics in the Global South. It provides valuable insights into the drivers of SOC sequestration, associated co-benefits, and knowledge gaps in tropical, subtropical, and Mediterranean systems. This resource is expected to support evidence-based climate policy design and contribute to international scientific discussions, including those led by bodies such as the Intergovernmental Panel on Climate Change (IPCC).",,Agricultural Sciences,etalab 2.0,1.0,1
doi:10.57745/VBDPD8,EuroSoil_STICS : Données sols européennes pour le projet SLAM-B,https://doi.org/10.57745/VBDPD8,2026-04-02T09:42:58Z,inrae,True,"SENGES, HUGO | Raynal, Hélène | Constantin, Julie | Clivot, Hugues",Ce travail s’inscrit dans le projet SLAM-B (ANR-22-PEXF-0003 ) qui vise à concevoir et évaluer les trajectoires de bioéconomie des territoires vers la neutralité carbone. Il vise la constitution d'un système d’information géographique permettant la création des jeux de données nécessaires pour la simulation du modèle de culture STICS à l’échelle européenne avec une résolution fine.,sol | FAIRCARBON | Europe | système d'information à référence spatiale | Simulation | sol agricole,Agricultural Sciences | Earth and Environmental Sciences,etalab 2.0,3.0,6
doi:10.57745/4XQ2Z5,"Phenological data of cherry trees in the Ouvèze-Ventoux Watershed from 2021 to 2023 and biophysical variables (LAI,FCOVER and FAPAR) estimated from hemispherical photos and Sentinel 2 images",https://doi.org/10.57745/4XQ2Z5,2025-10-17T08:34:27Z,TEMPO,True,Courault Dominique,"This dataset contains  phenological observations on cherry trees from 2021 to 2023 located in a small watershed in the North of vaucluse department. The protocol is described in https://orcid.org/0000-0002-4812-127X (see fig 4 and section 2.4). Observations were made  on several fields. The number of field is different according to the years. LAI,FCOVER and FAPAR were estimated from both from hemispherical photographs and Sentinel 2 images (mean values are computed at plot scale).","tree phenology, Prunus avium, BBCH-scale, fruit arboriculture,orchard | Sentinel 2 | leaf area index",Earth and Environmental Sciences,etalab 2.0,2.0,6
doi:10.57745/3PRE07,A comprehensive dataset gathering 37 cover crop field experiments across France (2004–2022): plant and soil-related agronomic variables on 33 crop species from five botanical families,https://doi.org/10.57745/3PRE07,2025-06-18T08:29:04Z,eos,True,"Pull, Manon | Alletto, Lionel | Justes, Eric | Lamichhane, Jay Ram | Dayoub, Elana | Hustet-Caou, Guillaume | Sitnikow, Emilie | Gaudio, Noémie | Casadebaig, Pierre | Mahmoud, Rémi | Ait Kaci Ahmed, Neila | Constantin, Julie | Couëdel, Antoine | Deschamps, Noémie | Lecloux, Eric | Marchand, Damien | Perdrieux, François | Raffaillac, Didier | Souques, Lucie | Tison, Gilles | Tribouillois, Hélène | Wojciechowski, Alexandre | Seassau, Célia","This dataset gathers the results of 37 field experiments related to cover crops, whether grown in sole crops or in mixtures, conducted in France over 19 years. It compiles quantitative data from field measurements and laboratory analyses on 33 species among five botanical families, along with information on technical management and climate conditions, providing a valuable resource for assessing cover crops performance.",Cover crops | Data mining | Multi-botanical families | Ecosystem services | Agriculture,Agricultural Sciences,etalab 2.0,2.0,6
doi:10.57745/WKQHW2,Dataset from long-term experiments in temperate croplands to evaluate soil organic carbon models,https://doi.org/10.57745/WKQHW2,2026-01-29T09:53:39Z,info_et_sols,True,"Fujisaki, Kenji | Ferchaud, Fabien | Clivot, Hugues | Bruni, Elisa | Pichot, Christian | Guenet, Bertrand | Versini, Antoine | Bispo, Antonio | Martin, Manuel P. | Peylin, Philippe | Jensen, Johannes L. | Eriksen, Jørgen | Chenu, Claire | Gregory, Andrew S. | Glendining, Margaret J. | Merbach, Inès | Beaudoin, Nicolas | Mary, Bruno | Mollier, Alain | Tison, Gilles | Montagnier, Christophe | Chabbi, Abad | Vertès, Françoise | Cadéro, Alice | Graux, Anne-Isabelle | Pellerin, Sylvain | Levavasseur, Florent | Gilles, Manon | Morvan, Thierry | Resseguier, Camille | Milesi, Luis | Irizar, Alicia | Andriulo, Adriàn | Mistou, Marie-Noël | Butier, Arnaud | Bertrand, Michel | Autret, Bénédicte | Jeuffroy, Marie-Hélène | Grandeau, Gilles | Doré, Thierry | Cellier, Vincent | Berthier, Alain | Darras, Sébastien | Audebert, Guillaume | Pasquier, Ludovic | Ecalle, Fabien | Savoie, Antoine | Schiedung, Marcus | Poeplau, Christopher | Maaroufi, Nadia | Kätterer, Thomas | Bolinder, Thomas | Sanderman, Jonathan | Barré, Pierre","The dataset contains data from 167 agronomic treatments in 34 agronomic long-term experiments (LTE) located in temperate croplands, allowing the evaluation of several soil carbon models (RothC, Century, CTOOL, AMG, MIMICS, ICBM, Millenial). The dataset includes climate data, soil properties, carbon inputs from crops (n=4588 records) and organic amendments, irrigation data, monthly soil cover, as well as soil organic carbon stocks measurements in topsoil layer (n=1328 records). Climate data were extracted from daily climate databases. Carbon inputs from crops were calculated from observed yields and harvest index, combined with crop allometric coefficients from the literature. Descriptions of LTE, agronomic treatments, methodological metadata, and a part of the code, accompanies the dataset. The dataset can be reused to evaluate single soil organic carbon models, or to evaluate an ensemble of models.",soil | carbon stock | precipitation | air temperature | soil moisture | soil temperature | exogenous organic matter | crop | climatic data | irrigation | long term experiment | yield | soil organic carbon,Agricultural Sciences | Earth and Environmental Sciences,etalab 2.0,1.0,2
doi:10.57745/Q6RMJB,Biocomposites from poly(3-hydroxybutyrate-co-3-hydroxyvalerate) and lignocellulosic fillers,https://doi.org/10.57745/Q6RMJB,2025-10-22T11:12:10Z,inrae,True,"Munch, Mélanie | Baudrit, Cédric | Buche, Patrice | Goutieras, Florian | Angellier-Coussy, Hélène","This dataset regoups the results of 6 different projects aiming at producing biocomposites from a polymeric matrix (PHBV) and different lignocellulosic fillers.
This dataset is an extension of an already published datapaper (Munch et al., 2022).
The new data are stemming from Berthet et al (2016); Berthet et al (2017); David et al (2019).

This dataset details:
- The matrix and biocomposite characteristics: thermal properties (melting and crystallization temperatures), thermal stability (onset and degradation temperatures), mechanical properties (Young's modulus,stress and strain at break)
- The lignocellulosic characteristics: composition (cellulose, hemicellulose, lignin, ash) and granulometry (d50)
- The biocomposite filling rate.

The characteristics of each biocomposite product are indicated as a plain value and as a ratio compared to the characteristics of the original matrix.

Munch, M., Buche, P., Dervaux, S., Breysse, A., Berthet, M.-A., David, G., Lammi, S., Rol, F., Viretto, A., & Angellier-Coussy, H. (2022). Biocomposites from poly(3-hydroxybutyrate-co-3-hydroxyvalerate) and lignocellulosic fillers : Processes stored in data warehouse structured by an ontology. Data in Brief, 42, 108191.

Berthet M.A., Commandré J.M., Rouau X., Gontard N., Angellier-Coussy H. “Torrefaction treatment of lignocellulosic fibres for improving fibre/matrix adhesion in a composite”, Materials and Design, 2016, 92, 223-232. https://doi.org/10.1016/j.matdes.2015.12.034

Berthet M.A., Mayer C., Rouau X., Gontard N., Angellier-Coussy H. “Sorting natural fibres : A way to better understand the role of fibre size polydispersity on the mechanical properties of biocomposites”, Composites Part A: Applied Science and Engineering, 2017, 95, 12-21. https://doi.org/10.1016/j.compositesa.2017.01.011

David G., Gontard N., Angellier-Coussy H. “Mitigating the impact of cellulose particles on the performance of biopolyester-based composites by gas-phase esterification”, Polymers, 2019, 11, 200-218.  https://doi.org/10.3390/polym11020200",lignocellulosic-based biocomposite,Agricultural Sciences,etalab 2.0,4.0,1
doi:10.57745/XJ13KO,Crop rotations for mainland France,https://doi.org/10.57745/XJ13KO,2026-02-11T10:50:58Z,inrae,True,"Javourez, Ugo","Supporting data for the study ""Generic crop rotation pattern-matching algorithm revealed dominant rotational systems for France"", published in Computers & Electronics in Agriculture, available in open-access at <a href=""https://www.sciencedirect.com/science/article/pii/S0168169926000396""> https://www.sciencedirect.com/science/article/pii/S0168169926000396 </a>.<br>
<br>
It includes the dominant crop rotations identified for mainland France, the dominant crop rotations for organic systems only, and the dominant crop rotations at the level of agricultural districts.<br>
<br>
These were obtained by applying a pattern matching algorithm to the 2015-2022 crop sequence dataset (Girault and Martin, 2024), based on a 41 crop codes nomenclature (provided). The algorithm is publicly available at <a href=""https://forge.inrae.fr/ugo.javourez/crop-rotations-pattern-matching-algorithm""> https://forge.inrae.fr/ugo.javourez/crop-rotations-pattern-matching-algorithm </a>",LPIS | cropping patterns | crop diversity | organic agriculture | crop rotation | RPG,Agricultural Sciences,etalab 2.0,5.0,9
