Nom_archive,Premier_auteur,Date de publication,Titre_unique,Sans_référencement,Present_in_HAL
HAL,Lapi Thomas,2025,System approach to natural versus manufactured hydrogen: An interdisciplinary perspective on a new primary energy source,True,A référencer
HAL,Delfosse Claire,2025,"Résilience alimentaire. Derrière une notion séduisante, des usages qui restent à clarifier",True,A référencer
