Nom_archive,Date de publication,Titre_unique,Sans_référencement
HAL,2025,X-ray absorption spectroscopy evidence of sulfur-bound Cadmium in the Cd-hyperaccumulator Solanum nigrum and the non-accumulator Solanum melongena,True
HAL,2025,The role of charge in the toxicity of polymer-coated cerium oxide nanomaterials to Caenorhabditis elegans,True
HAL,2024,Lead-induced changes in plant cell ultrastructure: an overview,True
HAL,2023,Cadmium detoxification in Solanum nigrum and Solanum melongena through bounding to thiol compounds: a combined X-ray absorption spectroscopy and Cd stable isotopes perspective,True
HAL,2023,Seaweed extracts as promising biostimulants for enhancing lead tolerance and accumulation in tomato (Solanum lycopersicum),True
HAL,2023,Multiscale imaging on Saxifraga paniculata provides new insights into yttrium uptake by plants,True
HAL,2023,Colocalization analysis to understand Yttrium uptake in Saxifraga paniculata using complementary imaging technics,True
